"","source","type","score","phase","gene_id","gene_type","gene_name","level","hgnc_id","havana_gene"
"ENSG00000216316.1","HAVANA","gene",NA,NA,"ENSG00000216316.1","processed_pseudogene","AL022722.1","1",NA,"OTTHUMG00000016149.1"
"ENSG00000216324.1","HAVANA","gene",NA,NA,"ENSG00000216324.1","processed_pseudogene","AL049697.2","2",NA,"OTTHUMG00000015174.1"
"ENSG00000216331.2","HAVANA","gene",NA,NA,"ENSG00000216331.2","unprocessed_pseudogene","H1-12P","2","HGNC:19163","OTTHUMG00000014431.3"
"ENSG00000216347.1","HAVANA","gene",NA,NA,"ENSG00000216347.1","processed_pseudogene","RPL10P10","1","HGNC:35486","OTTHUMG00000014896.1"
"ENSG00000216352.1","HAVANA","gene",NA,NA,"ENSG00000216352.1","processed_pseudogene","AL590824.1","1",NA,"OTTHUMG00000015095.1"
"ENSG00000216359.1","HAVANA","gene",NA,NA,"ENSG00000216359.1","processed_pseudogene","AL139039.1","2",NA,"OTTHUMG00000014236.1"
"ENSG00000216360.1","HAVANA","gene",NA,NA,"ENSG00000216360.1","processed_pseudogene","AL136968.1","1",NA,"OTTHUMG00000014181.1"
"ENSG00000216364.1","HAVANA","gene",NA,NA,"ENSG00000216364.1","processed_pseudogene","MRPL42P2","1","HGNC:29711","OTTHUMG00000014298.1"
"ENSG00000216365.2","HAVANA","gene",NA,NA,"ENSG00000216365.2","processed_pseudogene","RPL37P15","1","HGNC:36659","OTTHUMG00000014986.2"
"ENSG00000216368.2","HAVANA","gene",NA,NA,"ENSG00000216368.2","processed_pseudogene","AL136226.1","1",NA,"OTTHUMG00000014227.2"
"ENSG00000216378.1","HAVANA","gene",NA,NA,"ENSG00000216378.1","processed_pseudogene","AL080285.1","1",NA,"OTTHUMG00000015273.1"
"ENSG00000216412.4","HAVANA","gene",NA,NA,"ENSG00000216412.4","processed_pseudogene","RPL12P2","1","HGNC:16070","OTTHUMG00000014617.2"
"ENSG00000216425.4","HAVANA","gene",NA,NA,"ENSG00000216425.4","processed_pseudogene","PIMREGP2","1","HGNC:54613","OTTHUMG00000161045.1"
